threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
0.37999999999999995,0.7375582250551606,0.5868987902035999,0.7285714285714285,0.6501062265075993,0.806040446902643,0.640498971308562
0.38499999999999995,0.7380485413091444,0.5885338907136458,0.721978021978022,0.6484619180786314,0.806040446902643,0.640498971308562
0.38999999999999996,0.739151752880608,0.5911568746214415,0.715018315018315,0.6472148541114059,0.806040446902643,0.640498971308562
0.39499999999999996,0.7413581760235352,0.594859241126071,0.7120879120879121,0.648216072024008,0.806040446902643,0.640498971308562
0.3999999999999999,0.7425839666584947,0.5976441413515189,0.7062271062271063,0.6474143720617864,0.806040446902643,0.640498971308562
0.4049999999999999,0.744667810737926,0.6016336789192586,0.7014652014652014,0.6477253509216979,0.806040446902643,0.640498971308562
0.4099999999999999,0.7450355479284139,0.6031746031746031,0.6959706959706959,0.6462585034013606,0.806040446902643,0.640498971308562
0.4149999999999999,0.7458936013728855,0.6053222186598268,0.6915750915750916,0.645580441101043,0.806040446902643,0.640498971308562
0.41999999999999993,0.7466290757538613,0.6075251378527409,0.6860805860805861,0.644417684500258,0.806040446902643,0.640498971308562
0.42499999999999993,0.7479774454523167,0.6106369008535785,0.6813186813186813,0.6440443213296398,0.806040446902643,0.640498971308562
0.42999999999999994,0.750061289531748,0.6148222000664673,0.6776556776556777,0.6447116222338386,0.806040446902643,0.640498971308562
0.43499999999999994,0.7494483942142682,0.6155660377358491,0.6692307692307692,0.6412776412776413,0.806040446902643,0.640498971308562
0.43999999999999995,0.7512870801667075,0.6202401372212692,0.6622710622710622,0.6405668733392382,0.806040446902643,0.640498971308562
0.44499999999999995,0.7512870801667075,0.6215747485258412,0.6564102564102564,0.6385177267058614,0.806040446902643,0.640498971308562
0.4499999999999999,0.7523902917381711,0.625,0.6501831501831502,0.6373429084380611,0.806040446902643,0.640498971308562
0.4549999999999999,0.7520225545476833,0.6260249554367201,0.6432234432234433,0.6345076784101175,0.806040446902643,0.640498971308562
0.4599999999999999,0.752880607992155,0.6292541636495294,0.6366300366300366,0.6329206117989803,0.806040446902643,0.640498971308562
0.4649999999999999,0.7532483451826428,0.6318499448326591,0.6293040293040293,0.6305744173242797,0.806040446902643,0.640498971308562
0.4699999999999999,0.7532483451826428,0.6340186915887851,0.6212454212454213,0.6275670675300647,0.806040446902643,0.640498971308562
0.4749999999999999,0.7538612405001226,0.636535552193646,0.6164835164835165,0.6263490882024563,0.806040446902643,0.640498971308562
0.4799999999999999,0.7545967148810984,0.6398923904688701,0.6098901098901099,0.6245311327831958,0.806040446902643,0.640498971308562
0.48499999999999993,0.7539838195636185,0.6408258667705493,0.6025641025641025,0.6211062865773079,0.806040446902643,0.640498971308562
0.48999999999999994,0.7537386614366266,0.6423213580734307,0.595970695970696,0.6182785483564507,0.806040446902643,0.640498971308562
0.49499999999999994,0.7545967148810984,0.6464199517296862,0.5886446886446887,0.616180981595092,0.806040446902643,0.640498971308562
0.49999999999999994,0.7531257661191468,0.6455284552845528,0.5816849816849817,0.6119460500963391,0.806040446902643,0.640498971308562
0.5049999999999999,0.7531257661191468,0.648301574150787,0.5732600732600732,0.6084758942457231,0.806040446902643,0.640498971308562
0.5099999999999999,0.7531257661191468,0.6508003369839933,0.5659340659340659,0.6054075235109718,0.806040446902643,0.640498971308562
0.5149999999999999,0.7532483451826428,0.6537966537966537,0.5582417582417583,0.6022525192649674,0.806040446902643,0.640498971308562
0.5199999999999999,0.7531257661191468,0.6563318777292576,0.5505494505494506,0.598804780876494,0.806040446902643,0.640498971308562
0.5249999999999999,0.7518999754841873,0.6567495559502664,0.5417582417582417,0.5937374548374147,0.806040446902643,0.640498971308562
0.5299999999999999,0.7516548173571954,0.659132007233273,0.5340659340659341,0.5900445163901255,0.806040446902643,0.640498971308562
0.5349999999999999,0.7505516057857318,0.6600644864117918,0.5249084249084249,0.5847786166088553,0.806040446902643,0.640498971308562
0.5399999999999999,0.7505516057857318,0.6632221700328793,0.5172161172161173,0.5811895451739041,0.806040446902643,0.640498971308562
0.5449999999999999,0.750061289531748,0.666345690900337,0.5069597069597069,0.575826919076347,0.806040446902643,0.640498971308562
0.5499999999999999,0.7489580779602844,0.6681459566074951,0.49633699633699635,0.569567044976881,0.806040446902643,0.640498971308562
0.5549999999999999,0.7489580779602844,0.6720484359233098,0.4879120879120879,0.565365025466893,0.806040446902643,0.640498971308562
0.5599999999999999,0.7485903407697965,0.6747297992794647,0.48021978021978023,0.5610956558955703,0.806040446902643,0.640498971308562
0.565,0.7476097082618289,0.6763005780346821,0.4714285714285714,0.5555795380962659,0.806040446902643,0.640498971308562
0.57,0.7466290757538613,0.677938808373591,0.46263736263736266,0.549967341606793,0.806040446902643,0.640498971308562
0.575,0.7465064966903653,0.6826710816777042,0.4531135531135531,0.5446939674152356,0.806040446902643,0.640498971308562
0.58,0.7450355479284139,0.6832018038331454,0.44395604395604393,0.5381882770870338,0.806040446902643,0.640498971308562
0.585,0.7440549154204462,0.6855491329479769,0.43443223443223444,0.5318385650224215,0.806040446902643,0.640498971308562
