model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,param_model__l2_regularization,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,param_model__colsample_bytree,param_model__min_child_weight,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,param_model__subsample
random_forest,72.49472050666809,2.5952227826046923,0.5538809299468994,0.061905953796934005,,balanced,"{'model__class_weight': 'balanced', 'model__max_depth': 18, 'model__max_features': 0.6, 'model__min_samples_leaf': 4, 'model__n_estimators': 466}",0.7943709145366604,0.7975111138094563,0.7911902400852677,0.8090055873466012,0.8034047365844601,0.7990965184724891,0.006389123064902445,11,0.6157267123030172,0.6316272119261163,0.6311112623119475,0.6412909762200136,0.6414203904692608,0.632235310646071,0.009386563357357072,9,0.64,0.6398687448728466,0.6531932093775262,0.6532663316582915,0.6480263157894737,0.6468709203396277,0.005974070150914704,2,18.0,0.6,4.0,466.0,,,,,,,,,,
random_forest,88.055176115036,2.200932172184215,0.6879261493682861,0.060953142218802076,,,"{'model__class_weight': None, 'model__max_depth': 18, 'model__max_features': 0.6, 'model__min_samples_leaf': 4, 'model__n_estimators': 561}",0.7953929127962276,0.796253010341408,0.7907433266549287,0.809132188855691,0.8039128306409411,0.7990868538578393,0.006564893341983427,12,0.6163036530995571,0.630175900913688,0.6282273206227444,0.6452773589383621,0.6410948734258808,0.6322158214000465,0.010224557122991711,10,0.597678916827853,0.6061776061776062,0.6022514071294559,0.6164251207729469,0.6182846371347785,0.608163537608528,0.007993933892237745,13,18.0,0.6,4.0,561.0,,,,,,,,,,
random_forest,70.9868320465088,0.9026600289059178,0.48272089958190917,0.02543379443741996,,balanced_subsample,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 8, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__n_estimators': 488}",0.7977320408259635,0.8008300784543879,0.7951770451770453,0.8151516686078899,0.8089920831856315,0.8035765832501836,0.007423805562822342,3,0.6216059381706406,0.6356666305376397,0.6400031323245686,0.6419765707466254,0.6580255577170607,0.6394555658993071,0.01170012933064064,3,0.6433224755700325,0.648910411622276,0.6462530217566479,0.658312447786132,0.6477732793522267,0.648914327217463,0.005059209965765795,1,8.0,0.8,1.0,488.0,,,,,,,,,,
random_forest,44.45379343032837,0.6290916385265418,0.5026969909667969,0.08311928759125382,,,"{'model__class_weight': None, 'model__max_depth': 12, 'model__max_features': 0.4, 'model__min_samples_leaf': 2, 'model__n_estimators': 454}",0.7955261435924419,0.7989800254993624,0.7931650915076329,0.8105990783410139,0.8044732533211796,0.8005487184523261,0.0063026456427631794,8,0.6153224243592185,0.6328572444559631,0.6347117307758569,0.6373908363363798,0.6391638372744962,0.6318892146403828,0.008562128182100118,11,0.6009756097560975,0.6017526777020448,0.6119402985074627,0.6140519730510106,0.6146527117031398,0.608674654143951,0.006041625712779191,12,12.0,0.4,2.0,454.0,,,,,,,,,,
random_forest,147.93399081230163,1.6348900192493978,0.8506487369537353,0.23916801506323743,,balanced_subsample,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 18, 'model__max_features': 0.8, 'model__min_samples_leaf': 4, 'model__n_estimators': 747}",0.7933860185241399,0.7968921808700814,0.7896606156274665,0.8103728836447731,0.8029236508499182,0.7986470699032757,0.007311614186722619,13,0.6138614038746124,0.6271911500688648,0.6308010330518071,0.6451454100795995,0.6417001245944055,0.6317398243338579,0.011136669118048958,12,0.6178861788617886,0.6239855725879171,0.6350877192982456,0.6400725294650952,0.6374012291483757,0.6308866458722845,0.008498308367425988,6,18.0,0.8,4.0,747.0,,,,,,,,,,
random_forest,57.65100412368774,1.0551856700914675,0.7571328639984131,0.11370313573043651,,balanced_subsample,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 18, 'model__max_features': 0.4, 'model__min_samples_leaf': 3, 'model__n_estimators': 530}",0.7950387549835063,0.796428402781994,0.7907635642442273,0.8103982039465911,0.8040326800695464,0.7993323212051731,0.006997687950527371,10,0.616212445884358,0.6269094670179761,0.634008555478739,0.637505615313272,0.6373570324489397,0.6303986232286569,0.008066997519825002,13,0.6103542234332425,0.6317722681359045,0.6353149955634427,0.6302131603336423,0.6333630686886709,0.6282035432309806,0.009083678030552312,7,18.0,0.4,3.0,530.0,,,,,,,,,,
random_forest,28.66998643875122,1.0527958699343702,0.9236418247222901,0.15627030056782504,,,"{'model__class_weight': None, 'model__max_depth': 24, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 655}",0.7973357213688705,0.798033918199664,0.7964199704531196,0.8127614321162708,0.8030721966205837,0.8015246477517017,0.0060737180989293696,5,0.6179416559790125,0.634372367980057,0.6344040589113357,0.6470527637269647,0.6414259148004523,0.6350393522795644,0.00978048996669543,6,0.587426326129666,0.5883514313919053,0.6189591078066915,0.6089494163424124,0.6106870229007634,0.6028746609142878,0.012698191434463182,14,24.0,sqrt,4.0,655.0,,,,,,,,,,
random_forest,17.56035122871399,0.36349044662757046,0.5520310878753663,0.04832690799363813,,,"{'model__class_weight': None, 'model__max_depth': 24, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__n_estimators': 435}",0.798777649606379,0.799727129837627,0.7983341091075898,0.8134518323458415,0.8055873466011714,0.8031756134997217,0.005763530533967678,4,0.6195485146251346,0.6366760483851996,0.6371101640918636,0.6457348036991857,0.6452107546956032,0.6368560570993974,0.009468696986455069,4,0.6001936108422071,0.5899705014749262,0.6178403755868545,0.5964912280701754,0.6097794822627037,0.6028550396473734,0.00986002863833976,15,24.0,sqrt,7.0,435.0,,,,,,,,,,
random_forest,81.02012376785278,2.5281678136482246,0.454937219619751,0.07928716239020381,,balanced_subsample,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 18, 'model__max_features': 0.8, 'model__min_samples_leaf': 3, 'model__n_estimators': 381}",0.7925596502944569,0.7970861244341907,0.7896808532167647,0.8093246231495078,0.8013689843182932,0.7980040470826426,0.006917193644684012,15,0.6143515745655024,0.6236895095932933,0.6319558254143994,0.6434861475698292,0.6315588432498878,0.6290083800785824,0.009673782910671,14,0.6069469835466179,0.6227106227106227,0.6162162162162163,0.6281453867660765,0.6358792184724689,0.6219796855424005,0.009909055094866061,9,18.0,0.8,3.0,381.0,,,,,,,,,,
random_forest,91.3912139892578,0.9598740589685022,0.41892199516296386,0.08975660008829522,,balanced_subsample,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 24, 'model__max_features': 0.6, 'model__min_samples_leaf': 6, 'model__n_estimators': 688}",0.7951466887930978,0.7981604031327789,0.7922645187838557,0.8108826657213755,0.8058219813980182,0.8004552515658251,0.006900261250291785,9,0.6146295017419972,0.6290006713872752,0.6358415777017589,0.6459502416001277,0.646666736067785,0.6344177456997888,0.011882616019520313,7,0.6279683377308707,0.6357267950963222,0.6423109600679694,0.6360424028268551,0.640207075064711,0.6364511141573457,0.004921264377968388,5,24.0,0.6,6.0,688.0,,,,,,,,,,
